taxon_name,taxid,occurrence_count,rank
Opisthokonta,33154,24345,clade
Alveolata,33630,9042,clade
Discoba,2611352,5496,clade
Rhizaria,543769,5126,clade
Stramenopiles,33634,3668,clade
Insecta,50557,3087,class
Evosea,2605435,2431,phylum
Streptophyta,35493,2252,phylum
Embryophyceae_XX,NA,2248,NA
Mastigamoeba,81099,1609,genus
Mastigamoebidae,174815,1609,family
Chlorophyta,3041,1505,phylum
Tubulinea,555369,1323,phylum
Sordariomycetes,147550,1305,class
Dothideomycetes,147541,874,class
Stylonychia,5948,800,genus
Oxytrichidae,57506,800,family
Chromadorea_X,119089,778,class
Agaricomycetes,155619,759,class
Sandonidae,2586441,645,family
Flectomonas,1938442,639,genus
Eurotiomycetes,147545,604,class
Hexamitidae,5739,573,family
Metamonada,2611341,573,clade
Dino-Group-II-Clade-7_X,NA,547,NA
Dino-Group-II-Clade-7,NA,547,NA
Hartmannellidae,5776,472,family
Euglenaceae,1131320,470,family
Trachelomonas,96503,470,genus
Thoracosphaeraceae,1691972,468,family
Gibberella,5506,466,genus
Pentapharsodinium,66472,466,genus
Dino-Group-II-Clade-10-and-11,NA,415,NA
Dino-Group-II-Clade-10-and-11_X,NA,415,NA
Discosea,555280,399,phylum
Leotiomycetes,147548,374,class
Peronosporales,4776,373,order
Zea,4575,372,genus
Chlorellales_X,35460,315,order
Thalassiosiraceae,29202,309,family
Thalassiosira,35127,309,genus
Bathycoccaceae,1525212,308,family
Exobasidiomycetes,452283,306,class
Pythium,4797,302,genus
Malassezia,55193,298,genus
Anthozoa,6101,297,class
Ostreococcus,70447,293,genus
Maxillopoda,NA,290,NA
Dino-Group-II-Clade-6_X,NA,286,NA
Dino-Group-II-Clade-6,NA,286,NA
Saccamoeba,136463,279,genus
Rozellomycota_XXX,1031332,268,phylum
Rozellomycota_XX,1031332,268,phylum
Mammalia,40674,257,class
Dileptidae,1652550,253,family
Dileptidae_X,1652550,253,family
Scytomonadidae,2570650,240,family
Glomerales,36750,236,order
Apis,7459,236,genus
Rhizophagus,295919,236,genus
Saccharomycetales,4892,233,order
Heterodera,34509,228,genus
Lecanicillium,291363,225,genus
