Name_to_use,taxid,otu_count,size_count,lineage,lineage_ranks,lineage_taxids
AND16-lineage,1481724,75,194,cellular organisms;Eukaryota;Discoba;Heterolobosea;Tetramitia;Eutetramitia;Psalteriomonadidae;Monopylocystis;Monopylocystis minor,cellular root;domain;clade;phylum;clade;clade;family;genus;species,131567;2759;2611352;5752;2601529;2601530;1129782;63602;1481724
ARMOP1,NA,6,9,,,
Acanthamoebidae,33677,123,773,cellular organisms;Eukaryota;Amoebozoa;Discosea;Longamoebia;Centramoebida;Acanthamoebidae,cellular root;domain;clade;phylum;order;clade;family,131567;2759;554915;555280;1485168;555407;33677
Acantharea_3a,1367446,208,1225,cellular organisms;Eukaryota;Sar;Rhizaria;Endomyxa;Vampyrellida,cellular root;domain;clade;clade;phylum;order,131567;2759;2698737;543769;2604748;1367446
Acanthopodida.U.family,NA,3,3,,,
Acinetidae_2,239359,37,104,cellular organisms;Eukaryota;Sar;Alveolata;Ciliophora;Intramacronucleata;Phyllopharyngea;Suctoria;Endogenida;Acinetidae,cellular root;domain;clade;clade;phylum;subphylum;class;subclass;order;family,131567;2759;2698737;33630;5878;431838;37471;39462;163662;239359
Actinocephalidae,650287,172,567,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Actinocephalidae,cellular root;domain;clade;clade;phylum;class;subclass;order;family,131567;2759;2698737;33630;5794;1280412;35086;35087;650287
Adeleidae,203140,3,3,cellular organisms;Eukaryota;Sar;Alveolata;Apicomplexa;Adeleorina;Adeleidae,cellular root;domain;clade;clade;phylum;suborder;family,131567;2759;2698737;33630;5794;75740;203140
Agaricomycetes,155619,759,5519,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum;class,131567;2759;33154;4751;451864;5204;5302;155619
Agaricomycotina.U.family,5302,328,2666,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina,cellular root;domain;clade;kingdom;subkingdom;phylum;subphylum,131567;2759;33154;4751;451864;5204;5302
